Fold,ACC,Sn,Sp,Pre,F1,MCC,AUC
1,90.8165,0.6842,0.9593,0.7930,0.7346,0.6822,0.9358
1,90.7649,0.7076,0.9533,0.7756,0.7401,0.6851,0.9319
1,90.6188,0.7108,0.9508,0.7671,0.7379,0.6816,0.9326
2,90.6188,0.7144,0.9514,0.7761,0.7439,0.6875,0.9350
2,90.4083,0.7013,0.9519,0.7746,0.7361,0.6789,0.9279
2,90.5286,0.6797,0.9585,0.7942,0.7325,0.6784,0.9358
3,90.6231,0.7195,0.9508,0.7774,0.7473,0.6907,0.9387
3,90.6403,0.6977,0.9562,0.7920,0.7418,0.6870,0.9349
3,90.4083,0.7122,0.9499,0.7724,0.7411,0.6832,0.9351
4,90.5801,0.7121,0.9515,0.7760,0.7427,0.6861,0.9317
4,90.7692,0.7341,0.9486,0.7713,0.7522,0.6959,0.9326
4,90.6962,0.7161,0.9520,0.7787,0.7461,0.6902,0.9311
5,90.6059,0.6918,0.9569,0.7923,0.7386,0.6840,0.9363
Average,90.6386,0.7091,0.9528,0.7795,0.7425,0.6867,0.9347
5,90.4297,0.7017,0.9524,0.7778,0.7378,0.6808,0.9356
Average,90.6128,0.7038,0.9537,0.7817,0.7405,0.6850,0.9334
5,90.6747,0.7171,0.9518,0.7793,0.7469,0.6908,0.9396
Average,90.5853,0.7072,0.9526,0.7783,0.7409,0.6848,0.9348
